player,team,year_signed,years,contract_type,total_value,apy,guaranteed,fully_guaranteed,apy_pct_cap,unknown,inflated_value,inflated_apy,inflated_guaranteed,player_key,contract_id,pff_player_id,player_game_count,grades_offense,grades_pass_route,yprr,targets,receptions,yards,touchdowns,drop_rate,contested_catch_rate,avg_depth_of_target,slot_rate,wide_rate,yards_after_catch_per_reception,yards_per_reception,caught_percent,avoided_tackles,routes,first_downs,pass_plays,seasons_found,games_n1,injury_flag
Adam Thielen,PIT/MIN,2025,1.0,,5000000.0,5000000.0,1000000.0,,0.018,,5393983,5393983,1078797,adam thielen,367,8288,12.9,74.2,75.11999999999999,1.8210000000000002,88.10000000000001,67.0,749.8000000000001,4.800000000000001,3.65,59.11,10.5,68.82,30.91,3.23,11.67,76.75,1.6,441.6,38.400000000000006,471.90000000000003,3,10.0,1
Mecole Hardman,NYJ/KC,2023,1.0,,4000000.0,4000000.0,3580000.0,,0.018,,5359431,5359431,4796690,mecole hardman,368,42683,13.299999999999999,68.88000000000001,67.86,1.527,55.699999999999996,41.199999999999996,491.0,3.8,7.069999999999999,49.52,7.89,51.31999999999999,46.699999999999996,7.1,11.75,74.21000000000001,6.3,314.9,23.099999999999998,336.79999999999995,3,9.0,1
Anquan Boldin,Lions,2016,1.0,,2750000.0,2750000.0,750000.0,,0.018,,5334578,5334578,1454885,anquan boldin,369,1369,15.1,76.03999999999999,75.11,1.786,115.5,76.4,932.6,4.7,7.27,0.0,8.89,62.169999999999995,37.09,4.61,12.07,66.00999999999999,10.3,518.1999999999999,45.099999999999994,548.6999999999999,3,14.0,0
Josh Reynolds,JAX/DEN,2024,2.0,,9000000.0,4500000.0,4245000.0,,0.018,,10613939,5306969,5006241,josh reynolds,371,11872,17.4,67.88,67.47,1.286,66.39999999999999,43.099999999999994,627.3000000000001,4.7,7.79,57.269999999999996,12.389999999999999,33.51,66.49,4.069999999999999,14.39,65.07,7.3999999999999995,490.9,33.0,515.4,3,20.0,0
Michael Crabtree,Cardinals,2019,1.0,,3250000.0,3250000.0,500000.0,,0.017,,5201382,5201382,800213,michael crabtree,374,4933,16.099999999999998,67.44,66.61,1.397,105.8,60.1,676.0,6.2,13.989999999999998,46.34,11.2,16.91,82.87,2.77,11.25,56.629999999999995,7.700000000000001,490.6,38.400000000000006,529.1999999999999,3,17.0,0
Antonio Brown,Buccaneers,2021,1.0,,3100000.0,3100000.0,3100000.0,,0.017,,5116274,5116274,5116274,antonio brown,378,5718,8.399999999999999,84.25,83.53,2.546,63.3,43.4,484.9,5.3999999999999995,1.24,55.53,10.56,30.52,69.06,4.050000000000001,11.809999999999999,64.25999999999999,6.5,246.99999999999997,25.9,265.1,3,11.0,1
A.J. Green,Cardinals,2022,1.0,,3500000.0,3500000.0,3000000.0,,0.017,,5063401,5063401,4340058,aj green,379,6156,15.0,60.56999999999999,61.53,1.218,86.1,46.5,665.6999999999999,2.4,4.9799999999999995,43.89,12.09,11.459999999999999,78.42,2.7,12.75,48.81,5.4,488.1,32.4,517.2,2,17.0,0
Jeremy Kerley,49ers,2017,3.0,,8400000.0,2800000.0,2800000.0,,0.017,,15150180,5050060,5050060,jeremy kerley,380,6305,15.7,66.53,64.86999999999999,1.1690000000000003,79.1,46.99999999999999,486.70000000000005,2.5,6.9799999999999995,30.0,7.82,84.72,14.679999999999998,4.33,10.17,59.88,3.5999999999999996,392.0,23.499999999999996,408.8,3,16.0,0
Devin Duvernay,Jaguars,2024,2.0,,8500000.0,4250000.0,5700000.0,,0.017,,10024276,5012138,6722161,devin duvernay,382,40006,11.2,56.57,55.07,0.588,23.7,16.8,160.10000000000002,1.0999999999999999,1.35,22.29,9.03,47.0,52.809999999999995,4.43,6.82,58.11,0.9,181.9,7.1000000000000005,193.6,3,9.0,1
Marquise Brown,Eagles,2026,1.0,,5000000.0,5000000.0,5000000.0,,0.017,,5000000,5000000,5000000,marquise brown,383,61568,12.5,68.24,68.52000000000001,1.391,60.99999999999999,38.7,451.9,3.4,3.77,33.88,11.59,37.97,61.769999999999996,4.17,11.36,61.28999999999999,4.1,316.0,22.999999999999996,339.1,3,16.0,0
